RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,AverageSpeed,AverageTripDuration,OperatingCostPerPassenger,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q,makat_dir
27054,54,2,קווים,חדרה-נתניה,מטרופולין חיפה,אליכין,חדרה,אזורי,מאסף,סדיר,עירוני,מיניבוס,2,12.1,1146.9,0.5,34,20.88,34.77,37.7,18,97,102.3,536.8,5.5,,3.1,8.8,7.7,7.8,3.1,1.7,,,4.5,5.5,3.2,0.0,,,,,,,,,ימי חול - 06:00-08:59,2024,2,27054-2
27055,55,1,סופרבוס,העמקים,גולן גליל ועמקים,טבריה,סח'נין,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,37.2,3235.4,0.2,39,36.24,61.59,59.89,16,87,99.9,536.8,6.2,,1.8,4.4,5.4,11.8,6.2,4.7,,,1.8,1.5,9.5,10.3,,,,,,,,1.5,ימי חול - 12:00-14:59,2024,2,27055-1
27055,55,2,סופרבוס,העמקים,גולן גליל ועמקים,סח'נין,טבריה,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,35.9,3306.3,0.1,37,32.55,66.18,76.59,17,92,88.7,477.0,5.2,,4.6,7.5,4.4,10.9,2.0,2.5,,0.0,19.8,2.9,5.8,0.3,,,,,,,,1.8,שישי - 06:00-08:59,2024,2,27055-2
27061,61,1,אקסטרה ירושלים,ירושלים קווי צפון,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.5,5354.0,2.2,40,20.26,42.94,8.22,63,368,2060.6,11532.0,31.3,,2.6,36.7,31.5,53.4,29.1,26.1,,8.5,19.0,26.4,36.1,12.9,,,,,,,,17.7,ימי חול - 12:00-14:59,2024,2,27061-1
27061,61,2,אקסטרה ירושלים,ירושלים קווי צפון,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.4,5178.2,1.9,40,22.55,38.31,8.55,63,360,1738.3,9681.4,26.9,,3.4,21.6,18.8,47.8,25.7,28.0,,,17.5,26.9,35.3,9.1,,,,,,,,14.6,ימי חול - 12:00-14:59,2024,2,27061-2
27065,65,1,מטרופולין,השרון,מרכז,הוד השרון,כפר סבא,עירוני,מקומי מאסף,קווים מזינים,עירוני,אוטובוס,1,4.2,104.1,0.5,9,24.65,10.22,29.48,5,25,10.4,52.0,2.1,,,2.0,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2024,2,27065-1
27065,65,2,מטרופולין,השרון,מרכז,כפר סבא,הוד השרון,עירוני,מקומי מאסף,קווים מזינים,עירוני,אוטובוס,1,4.8,143.6,0.3,12,23.88,12.06,49.9,6,30,8.7,43.5,1.4,,,,,,1.4,,,,,,,,,,,,,,,,ימי חול - 15:00-18:59,2024,2,27065-2
27069,69,1,אקסטרה,נתניה עירוני,מרכז,נתניה,נתניה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.1,4799.8,1.6,39,19.1,44.29,11.48,60,340,1460.9,7873.1,23.2,,3.8,32.6,23.8,39.6,17.7,11.9,,3.2,20.4,19.0,17.5,2.3,,,,,,,,5.8,ימי חול - 12:00-14:59,2024,2,27069-1
27069,69,2,אקסטרה,נתניה עירוני,מרכז,נתניה,נתניה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,12.8,4422.9,1.9,40,17.79,43.17,10.65,61,346,1568.9,8413.4,24.3,,3.2,31.9,22.6,42.0,26.7,15.0,,1.6,16.7,17.1,22.4,3.4,,,,,,,,5.8,ימי חול - 12:00-14:59,2024,2,27069-2
27071,71,1,ש.א.מ,קווי נצרת – שאמ,גולן גליל ועמקים,כפר כנא,כפר כנא,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,4,2.6,113.9,7.1,9,15.79,9.88,2.92,8,40,152.6,811.3,20.3,,,19.1,,,,,,,,,,,,,,6.0,,,,,ימי חול - 06:00-08:59,2024,2,27071-1
